"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.975502542E0,-1.511856079E-2,7.319778442E-2,9.830058289E0,9.830342438E0
2.985549542E0,-2.649490356E-2,7.155120850E-2,9.813592529E0,9.813889132E0
2.995595542E0,-2.215393066E-2,7.544311523E-2,9.882299652E0,9.882612452E0
3.005642542E0,-1.437011719E-2,7.843688965E-2,9.864935760E0,9.865258051E0
3.015689542E0,-1.137634277E-2,8.023315430E-2,9.793085175E0,9.793420445E0
3.025735542E0,-1.002914429E-2,8.397537231E-2,9.831255798E0,9.831619552E0
3.035782542E0,-1.047821045E-2,8.292755127E-2,9.885742493E0,9.886095863E0
3.045828542E0,-1.257385254E-2,8.592132568E-2,9.818083191E0,9.818467198E0
3.055875542E0,-2.215393066E-2,7.903564453E-2,9.811047821E0,9.811391174E0
3.065922083E0,-1.556762695E-2,7.768844604E-2,9.886191559E0,9.886509060E0
3.075968083E0,-1.257385254E-2,8.232879639E-2,9.901310120E0,9.901660377E0
3.086015083E0,-1.182540894E-2,9.175918579E-2,9.841135254E0,9.841570133E0
3.096061083E0,-8.681945801E-3,1.025367737E-1,9.857750702E0,9.858287786E0
3.106108083E0,-9.131011963E-3,1.052311707E-1,9.929750977E0,9.930312756E0
3.116155083E0,-5.837860107E-3,9.669891357E-2,9.896520081E0,9.896994214E0
3.126201083E0,-6.586303711E-3,9.445358276E-2,9.841135254E0,9.841590722E0
3.136248083E0,-5.538482666E-3,8.816665649E-2,9.868977356E0,9.869372730E0
3.146294083E0,2.095642090E-3,7.783813477E-2,9.905052338E0,9.905358397E0
3.156341083E0,-3.592529297E-3,8.098159790E-2,9.823322296E0,9.823656746E0
3.166388083E0,-3.592529297E-3,7.828720093E-2,9.808054047E0,9.808367141E0
3.176434083E0,-5.987548828E-4,8.262817383E-2,9.889484711E0,9.889829908E0
3.186481083E0,8.083190918E-3,9.131011963E-2,9.863588562E0,9.864014507E0
3.196527083E0,1.092727661E-2,8.861572266E-2,9.798324280E0,9.798731083E0
3.206574083E0,1.182540894E-2,7.649093628E-2,9.842183075E0,9.842487408E0
